pmid,year,score,topic,topic_keywords,title
39661234,2025,0.09408412120851563,4,"model, learning, machine, pharmacovigilance, performance",Performance and Reproducibility of Large Language Models in Named Entity Recognition: Considerations for the Use in Controlled Environments.
28744844,2017,0.12353122433876046,2,"vaccine, covid19, vaccines, vaccination, dose",Suspected Adverse Effects After Human Papillomavirus Vaccination: A Temporal Relationship Between Vaccine Administration and the Appearance of Symptoms in Japan.
40088342,2025,0.15799508681359328,4,"model, learning, machine, pharmacovigilance, performance",Narrative Search Engine for Case Series Assessment Supported by Artificial Intelligence Query Suggestions.
37043168,2023,0.21027820790199833,1,"pregnancy, exposure, women, pregnancies, outcomes",Validation of an ICD-9-Based Algorithm to Identify Stillbirth Episodes from Medicaid Claims Data.
27995519,2017,0.21731185683220877,6,"liver, dili, injury, cases, druginduced",Hepatic Cyst Infection During Use of the Somatostatin Analog Lanreotide in Autosomal Dominant Polycystic Kidney Disease: An Interim Analysis of the Randomized Open-Label Multicenter DIPAK-1 Study.
28321782,2017,0.2177688982989482,-1,(noise),Targeting Interleukin-5 or Interleukin-5Rα: Safety Considerations.
32399868,2020,0.22158671319530765,-1,(noise),Pathophysiology of Drug-Induced Hypomagnesaemia.
29560597,2018,0.22223380242056345,2,"vaccine, covid19, vaccines, vaccination, dose",Central Demyelinating Diseases after Vaccination Against Hepatitis B Virus: A Disproportionality Analysis within the VAERS Database.
26968541,2016,0.2246686229209371,12,"qt, qtc, prolongation, tdp, interval",Universal Correction for QT/RR Hysteresis.
31111340,2019,0.22516222659208446,-1,(noise),Evaluation of Use of Technologies to Facilitate Medical Chart Review.
30649748,2019,0.22563907337810862,0,"patients, treatment, events, inhibitors, adverse",Safety and Tolerability of c-MET Inhibitors in Cancer.
26658991,2016,0.2256906882466215,-1,(noise),Risk of Inflammatory Bowel Disease with Oral Contraceptives and Menopausal Hormone Therapy: Current Evidence and Future Directions.
25820287,2015,0.23323791793708096,0,"patients, treatment, events, inhibitors, adverse",Organ-on-a-chip: development and clinical prospects toward toxicity assessment with an emphasis on bone marrow.
32242310,2020,0.23375448154393447,21,"iron, asthma, copd, ferric, carboxymaltose","Safety of Eosinophil-Depleting Therapy for Severe, Eosinophilic Asthma: Focus on Benralizumab."
25832756,2015,0.23399531406099408,0,"patients, treatment, events, inhibitors, adverse","Chimeric fusion proteins used for therapy: indications, mechanisms, and safety."
40223041,2025,0.23624288461896728,5,"signal, detection, signals, drug, method",Interplay of Spontaneous Reporting and Longitudinal Healthcare Databases for Signal Management: Position Statement from the Real-World Evidence and Big Data Special Interest Group of the International Society of Pharmacovigilance.
29230691,2018,0.23649264002481934,1,"pregnancy, exposure, women, pregnancies, outcomes",Beta-Blocker Use in Pregnancy and Risk of Specific Congenital Anomalies: A European Case-Malformed Control Study.
37328600,2023,0.24019421335061078,2,"vaccine, covid19, vaccines, vaccination, dose",Serially Combining Epidemiological Designs Does Not Improve Overall Signal Detection in Vaccine Safety Surveillance.
